Department,DistinguishedName,Enabled,GivenName,Manager,Name,ObjectClass,OfficePhone,SamAccountName,sn,Surname,Title
Project Management,CN=Jesper Aaberg,TRUE,Jesper,CN=Chris Norred,Jesper Aaberg,user,+41 56 406 1783,jespera,Aaberg,Aaberg,Project Manager
Project Management,CN=Danni Ortman,TRUE,Danni,CN=Andrew Ma,Danni Ortman,user,+41 56 406 6667,dannio,Ortman,Ortman,Senior Project Manager
Project Management,CN=Andy Jacobs,TRUE,Andy,CN=Scott Bishop,Andy Jacobs,user,+41 56 406 4262,andyj,Jacobs,Jacobs,Senior Project Manager
Operations,CN=Mchiel Wories,TRUE,Mchiel,CN=Keith Dishmo,Mchiel Wories,user,+41 56 406 4539,mchielw,Wories,Wories,Procurement Manager
Project Management,CN=Nuria Gonzalez,TRUE,Nuria,CN=Mike Nash,Nuria Gonzalez,user,+41 56 406 8185,nuriag,Gonzalez,Gonzalez,Senior Project Manager
Sales Engagement Management,CN=Ty Carlson,TRUE,Ty,CN=Lene Aalling,Ty Carlson,user,+41 56 406 4446,tyc,Carlson,Carlson,Salesperson
Senior Management,CN=Cassie Hicks,TRUE,Cassie,CN=Adam Barr,Cassie Hicks,user,+41 56 406 0129,cassieh,Hicks,Hicks,Director of Client Services
Senior Management,CN=Sean Chai,TRUE,Sean,CN=Molly Clark,Sean Chai,user,+41 56 406 0193,seanc,Chai,Chai,Director of Affiliate Marketing and Partnerships
Senior Management,CN=Todd Rowe,TRUE,Todd,CN=Diane Prescott,Todd Rowe,user,+41 56 406 0124,toddr,Rowe,Rowe,Sr. Media Planner
CVP of IT,CN=Tai Lee,TRUE,Tai,CN=Jeff Hay,Tai Lee,user,+41 56 406 0131,tail,Lee,Lee,President of Services
Senior Management,CN=Greg Winston,TRUE,Greg,CN=Jeff Hay,Greg Winston,user,+41 56 406 0140,gregw,Winston,Winston,President of Management
Executive,CN=Sanjay Shah,TRUE,Sanjay,CN=Dan Jump,Sanjay Shah,user,+41 56 406 0107,sanjays,Shah,Shah,Chief of Technical Strategy
Executive,CN=Toni Poe,TRUE,Toni,CN=Dan Jump,Toni Poe,user,+41 56 406 0196,tonip,Poe,Poe,Chief of Partnerships and Strategy
Executive,CN=Jim Daly,TRUE,Jim,CN=Dan Jump,Jim Daly,user,+41 56 406 0116,jimd,Daly,Daly,CFO
Sales Engagement Management,CN=Tom Youtsey,TRUE,Tom,CN=David Simpson,Tom Youtsey,user,+41 56 406 4331,tomy,Youtsey,Youtsey,Salesperson
Sales Engagement Management,CN=Kerim Hanif,TRUE,Kerim,CN=David Simpson,Kerim Hanif,user,+41 56 406 5661,kerimh,Hanif,Hanif,Salesperson
Sales Engagement Management,CN=Jamie Reding,TRUE,Jamie,CN=David Simpson,Jamie Reding,user,+41 56 406 2363,jamier,Reding,Reding,Salesperson
Sales Engagement Management,CN=Ye Xu,TRUE,Ye,CN=Arthur Yasinski,Ye Xu,user,+41 56 406 7757,yex,Xu,Xu,Salesperson
Sales,CN=Marko Zajc,TRUE,Marko,CN=April Stewart,Marko Zajc,user,+41 56 406 3784,markoz,Zajc,Zajc,Salesperson
Sales Engagement Management,CN=Fabrice Canel,TRUE,Fabrice,CN=Arthur Yasinski,Fabrice Canel,user,+41 56 406 8815,fabricc,Canel,Canel,Salesperson
Sales,CN=Pavel Simsa,TRUE,Pavel,CN=David Simpson,Pavel Simsa,user,+41 56 406 1284,pavels,Simsa,Simsa,Salesperson
Sales Engagement Management,CN=Vernette Price,TRUE,Vernette,CN=Lene Aalling,Vernette Price,user,+41 56 406 6828,vernettp,Price,Price,Salesperson
Sales Engagement Management,CN=Nate Sun,TRUE,Nate,CN=Lene Aalling,Nate Sun,user,+41 56 406 7818,nates,Sun,Sun,Salesperson
Sales Engagement Management,CN=Tina Makovec,TRUE,Tina,CN=April Stewart,Tina Makovec,user,+41 56 406 2465,tinam,Makovec,Makovec,Salesperson
Sales Engagement Management,CN=Neil Orint,TRUE,Neil,CN=April Stewart,Neil Orint,user,+41 56 406 5958,neilo,Orint,Orint,Salesperson
Sales Engagement Management,CN=Luka Abrus,TRUE,Luka,CN=April Stewart,Luka Abrus,user,+41 56 406 3648,lukaa,Abrus,Abrus,Salesperson
Sales Engagement Management,CN=Euan Garden,TRUE,Euan,CN=April Stewart,Euan Garden,user,+41 56 406 3383,euang,Garden,Garden,Salesperson
Sales,CN=Eran Harel,TRUE,Eran,CN=Jose Saraiva,Eran Harel,user,+41 56 406 1265,eranh,Harel,Harel,Salesperson
Sales,CN=Michael Ovesen,TRUE,Michael,CN=Jose Saraiva,Michael Ovesen,user,+41 56 406 5625,michaeo,Ovesen,Ovesen,Salesperson
Sales,CN=Kim Abercrombie,TRUE,Kim,CN=Jose Saraiva,Kim Abercrombie,user,+41 56 406 3839,kima,Abercrombie,Abercrombie,Salesperson
Operations,CN=Rob Young,TRUE,Rob,CN=Arturo Lopez,Rob Young,user,+41 56 406 1739,roby,Young,Young,IT Manager
Project Management,CN=Terry Earls,TRUE,Terry,CN=Mike Nash,Terry Earls,user,+41 56 406 3164,terrye,Earls,Earls,Project Manager
Operations,CN=Michael Mainer,TRUE,Michael,CN=Erika Cheley,Michael Mainer,user,+41 56 406 4542,michaem,Mainer,Mainer,Manager
Sales Engagement Management,CN=Sven Buck,TRUE,Sven,CN=Arthur Yasinski,Sven Buck,user,+41 56 406 4151,svenb,Buck,Buck,Salesperson
Sales,CN=Eric Gruber,TRUE,Eric,CN=Lene Aalling,Eric Gruber,user,+41 56 406 4629,ericg,Gruber,Gruber,Salesperson
Operations,CN=Jelle Visser,TRUE,Jelle,CN=Keith Dishmo,Jelle Visser,user,+41 56 406 4932,jellev,Visser,Visser,Procurement Manager
Sales,CN=Erik Gubbels,TRUE,Erik,CN=April Stewart,Erik Gubbels,user,+41 56 406 9296,erikg,Gubbels,Gubbels,Salesperson
Sales,CN=Dominik Paiha,TRUE,Dominik,CN=Jose Saraiva,Dominik Paiha,user,+41 56 406 2538,dominip,Paiha,Paiha,Salesperson
Sales,CN=Dan Hough,TRUE,Dan,CN=Arthur Yasinski,Dan Hough,user,+41 56 406 4568,danh,Hough,Hough,Salesperson
Sales,CN=Tina Lassila,TRUE,Tina,CN=Arthur Yasinski,Tina Lassila,user,+41 56 406 6337,tinal,Lassila,Lassila,Salesperson
Sales,CN=Nuno Farinha,TRUE,Nuno,CN=David Simpson,Nuno Farinha,user,+41 56 406 1812,nunof,Farinha,Farinha,Salesperson
Sales,CN=Maru Subrmani,TRUE,Maru,CN=April Stewart,Maru Subrmani,user,+41 56 406 5277,marus,Subrmani,Subrmani,Salesperson
Sales,CN=Marc Faerber,TRUE,Marc,CN=David Simpson,Marc Faerber,user,+41 56 406 3269,marcf,Faerber,Faerber,Salesperson
Sales,CN=Kari Furse,TRUE,Kari,CN=Jose Saraiva,Kari Furse,user,+41 56 406 2668,karif,Furse,Furse,Salesperson
Senior Management,CN=Karen Berg,TRUE,Karen,CN=Julian Isla,Karen Berg,user,+41 56 406 0174,karenb,Berg,Berg,Sr. Account Manager
Human Resources,CN=Ian Tien,TRUE,Ian,CN=Amy Alberts,Ian Tien,user,+41 56 406 1437,iant,Tien,Tien,HR Specialist
Sales,CN=Scott Gode,TRUE,Scott,CN=David Simpson,Scott Gode,user,+41 56 406 8474,scottg,Gode,Gode,Salesperson
Sales,CN=Gina Boyer,TRUE,Gina,CN=Arthur Yasinski,Gina Boyer,user,+41 56 406 3766,ginab,Boyer,Boyer,Salesperson
Sales,CN=Annelie Zubar,TRUE,Annelie,CN=Jose Saraiva,Annelie Zubar,user,+41 56 406 4845,anneliz,Zubar,Zubar,Salesperson
Sales,CN=David Bossard,TRUE,David,CN=April Stewart,David Bossard,user,+41 56 406 1422,davidb,Bossard,Bossard,Salesperson
Sales,CN=Alicia Thomber,TRUE,Alicia,CN=David Simpson,Alicia Thomber,user,+41 56 406 4825,aliciat,Thomber,Thomber,Salesperson
Sales,CN=Marcelo Truffat,TRUE,Marcelo,CN=Jose Saraiva,Marcelo Truffat,user,+41 56 406 1785,marcelt,Truffat,Truffat,Salesperson
Engineering Operations,CN=Tony Madigan,TRUE,Tony,CN=Carol Troup,Tony Madigan,user,+41 56 406 6941,tonym,Madigan,Madigan,Senior Engineer
Engineering Operations,CN=Sunil Koduri,TRUE,Sunil,CN=Carol Troup,Sunil Koduri,user,+41 56 406 5651,sunilk,Koduri,Koduri,Senior Engineer
Engineering Operations,CN=Simon Pearson,TRUE,Simon,CN=Carol Troup,Simon Pearson,user,+41 56 406 2318,simonp,Pearson,Pearson,Senior Engineer
Engineering Operations,CN=Paul Duffy,TRUE,Paul,CN=Carol Troup,Paul Duffy,user,+41 56 406 9351,pauld,Duffy,Duffy,Senior Engineer
Engineering Operations,CN=Kate Taneyhill,TRUE,Kate,CN=Carol Troup,Kate Taneyhill,user,+41 56 406 2732,katet,Taneyhill,Taneyhill,Senior Engineer
Engineering Operations,CN=Chris Gray,TRUE,Chris,CN=Carol Troup,Chris Gray,user,+41 56 406 9244,chrisg,Gray,Gray,Senior Engineer
Engineering Operations,CN=Stephen Deming,TRUE,Stephen,CN=Carol Troup,Stephen Deming,user,+41 56 406 1211,stephed,Deming,Deming,Engineer
Engineering Operations,CN=Olivier Fontana,TRUE,Olivier,CN=Carol Troup,Olivier Fontana,user,+41 56 406 7444,olivief,Fontana,Fontana,Engineer
Engineering Operations,CN=Michelle Fredette,TRUE,Michelle,CN=Carol Troup,Michelle Fredette,user,+41 56 406 6132,michelf,Fredette,Fredette,Engineer
Strategy Consulting,CN=Arlene Huff,TRUE,Arlene,CN=Jenni Merrifield,Arlene Huff,user,+41 56 406 9538,arleneh,Huff,Huff,Strategy Consultant
Marketing,CN=Pieter Wycoff,TRUE,Pieter,CN=Kelly Krout,Pieter Wycoff,user,+41 56 406 9269,pieterw,Wycoff,Wycoff,Marketing Specialist
Engineering Operations,CN=Erwin Zischka,TRUE,Erwin,CN=Carol Troup,Erwin Zischka,user,+41 56 406 8835,erwinz,Zischka,Zischka,Engineer
Operations,CN=Lukas Keller,TRUE,Lukas,CN=Erika Cheley,Lukas Keller,user,+41 56 406 3556,lukask,Keller,Keller,Manager
Operations,CN=Ken Ewert,TRUE,Ken,CN=Erika Cheley,Ken Ewert,user,+41 56 406 7698,kene,Ewert,Ewert,Manager
Operations,CN=Justin Thorp,TRUE,Justin,CN=Erika Cheley,Justin Thorp,user,+41 56 406 1393,justint,Thorp,Thorp,Manager
Operations,CN=Jon Grande,TRUE,Jon,CN=Erika Cheley,Jon Grande,user,+41 56 406 7649,jong,Grande,Grande,Manager
Operations,CN=Jo Berry,TRUE,Jo,CN=Ben Spain,Jo Berry,user,+41 56 406 9867,job,Berry,Berry,Manager
Operations,CN=Hans Gufler,TRUE,Hans,CN=Ben Spain,Hans Gufler,user,+41 56 406 1298,hansg,Gufler,Gufler,Manager
Operations,CN=David Bradley,TRUE,David,CN=Ben Spain,David Bradley,user,+41 56 406 5934,davidb1,Bradley,Bradley,Manager
Operations,CN=Marie Dubois,TRUE,Marie,CN=Arturo Lopez,Marie Dubois,user,+41 56 406 5567,maried,Dubois,Dubois,IT Manager
Operations,CN=Kevin Kennedy,TRUE,Kevin,CN=Arturo Lopez,Kevin Kennedy,user,+41 56 406 7455,kevink,Kennedy,Kennedy,IT Manager
Operations,CN=Kai Axford,TRUE,Kai,CN=Arturo Lopez,Kai Axford,user,+41 56 406 9541,kaia,Axford,Axford,IT Manager
Sales,CN=Manish Chopra,TRUE,Manish,CN=Lene Aalling,Manish Chopra,user,+41 56 406 3855,manishc,Chopra,Chopra,Salesperson
Marketing,CN=Sunil Uppal,TRUE,Sunil,CN=Kelly Krout,Sunil Uppal,user,+41 56 406 2416,sunilu,Uppal,Uppal,Public Relations Specialist
Sales,CN=Luis Bonifaz,TRUE,Luis,CN=Arthur Yasinski,Luis Bonifaz,user,+41 56 406 7862,luisb,Bonifaz,Bonifaz,Salesperson
Sales,CN=Kevin Verboort,TRUE,Kevin,CN=Arthur Yasinski,Kevin Verboort,user,+41 56 406 3654,kevinv,Verboort,Verboort,Salesperson
Marketing,CN=Christian Jene,TRUE,Christian,CN=Kelly Krout,Christian Jene,user,+41 56 406 8834,christj,Jene,Jene,Marketing Specialist
Marketing,CN=Felipe Martins,TRUE,Felipe,CN=Kelly Krout,Felipe Martins,user,+41 56 406 2312,felipem,Martins,Martins,Marketing Specialist
Marketing,CN=John Evans,TRUE,John,CN=Kelly Krout,John Evans,user,+41 56 406 8951,johnev,Evans,Evans,Marketing Specialist
Operations,CN=Heinrich Fischer,TRUE,Heinrich,CN=Arturo Lopez,Heinrich Fischer,user,+41 56 406 3325,heinrif,Fischer,Fischer,IT Manager
Sales,CN=Kirk Nason,TRUE,Kirk,CN=Jose Saraiva,Kirk Nason,user,+41 56 406 8595,kirkj,Nason,Nason,Salesperson
Operations,CN=Brian Cox,TRUE,Brian,CN=Keith Dishmo,Brian Cox,user,+41 56 406 4515,brianc,Cox,Cox,Procurement Manager
Sales,CN=Patricia Doyle,TRUE,Patricia,CN=Lene Aalling,Patricia Doyle,user,+41 56 406 9181,patricd,Doyle,Doyle,Salesperson
Sales,CN=Ron Gabel,TRUE,Ron,CN=April Stewart,Ron Gabel,user,+41 56 406 2429,rong,Gabel,Gabel,Salesperson
Sales,CN=Shmuel Yair,TRUE,Shmuel,CN=David Simpson,Shmuel Yair,user,+41 56 406 2693,shmuely,Yair,Yair,Salesperson
Marketing,CN=Phyllis Harris,TRUE,Phyllis,CN=Kelly Krout,Phyllis Harris,user,+41 56 406 1214,phyllih,Harris,Harris,Marketing Specialist
Sales,CN=Jenny Lysaker,TRUE,Jenny,CN=April Stewart,Jenny Lysaker,user,+41 56 406 4516,jennyl,Lysaker,Lysaker,Salesperson
Marketing,CN=Jordao Moreno,TRUE,Jordao,CN=Kelly Krout,Jordao Moreno,user,+41 56 406 6811,jordaom,Moreno,Moreno,Marketing Specialist
Sales,CN=Josh Edwards,TRUE,Josh,CN=Lene Aalling,Josh Edwards,user,+41 56 406 8454,joshe,Edwards,Edwards,Salesperson
Marketing,CN=Chris Johnson,TRUE,Chris,CN=Kelly Krout,Chris Johnson,user,+41 56 406 9000,chrisj,Johnson,Johnson,Marketing Specialist
Operations,CN=Kris Johnsen,TRUE,Kris,CN=Arturo Lopez,Kris Johnsen,user,+41 56 406 9001,krisj,Johnsen,Johnsen,IT Manager
